#i j Zij Xij(1) Xij(2)
1	1	0	-0.813	-1.099
1	2	0	-0.414	-1.369
1	3	0	-0.463	0.195
1	4	0	-1.720	-2.537
1	5	0	-0.188	-0.250
1	6	0	-1.711	-0.508
1	7	0	-0.976	-0.324
1	8	0	-1.821	-3.030
1	9	0	-0.307	-0.687
1	10	0	-1.042	-1.173
1	11	0	-1.393	-1.287
1	12	0	-0.105	-1.505
1	13	0	-0.696	-1.016
1	14	0	-0.888	-1.385
1	15	0	-0.925	-2.182
1	16	0	-0.989	-0.878
1	17	0	-0.401	-0.565
1	18	0	-1.634	-2.338
1	19	0	-2.043	-2.684
1	20	0	-1.279	-1.949
2	1	1	0.884	1.261
2	2	1	1.706	1.997
2	3	1	1.225	0.943
2	4	1	1.047	0.010
2	5	1	1.461	1.554
2	6	0	-1.802	-2.659
2	7	1	-0.039	0.524
2	8	1	0.882	0.981
2	9	1	-0.113	1.110
2	10	1	0.700	1.427
2	11	0	-0.473	0.283
2	12	1	1.457	1.637
2	13	1	-0.698	0.526
2	14	1	2.282	1.329
2	15	1	0.117	0.869
2	16	1	0.522	0.098
2	17	1	2.240	0.605
2	18	1	2.612	1.165
2	19	1	1.479	1.327
2	20	1	0.484	0.670
3	1	0	-0.371	-0.666
3	2	0	-1.398	-0.995
3	3	0	-1.879	-0.916
3	4	0	-1.106	-0.256
3	5	0	-0.596	-0.875
3	6	0	-0.705	-0.133
3	7	1	2.211	1.690
3	8	0	-0.156	-0.216
3	9	1	0.958	0.706
3	10	0	0.405	-0.482
3	11	0	-0.804	-2.273
3	12	0	-1.205	-1.077
3	13	0	-1.772	-2.231
3	14	0	-1.026	-0.909
3	15	0	-1.219	-0.600
3	16	0	-0.994	0.228
3	17	0	-0.811	-0.487
3	18	0	-0.973	-0.650
3	19	0	-0.939	0.630
3	20	0	-1.114	-0.835
4	1	1	1.376	1.174
4	2	1	1.723	1.302
4	3	1	0.346	1.175
4	4	1	0.406	0.782
4	5	1	2.415	1.917
4	6	1	-0.325	0.542
4	7	1	2.255	0.750
4	8	1	0.428	0.398
4	9	1	1.018	0.573
4	10	1	1.136	0.484
4	11	1	-0.549	0.550
4	12	0	-0.843	-1.964
4	13	1	2.029	1.108
4	14	1	2.041	1.705
4	15	1	2.399	1.613
4	16	1	0.762	1.628
4	17	1	1.592	1.084
4	18	1	0.707	1.923
4	19	1	1.447	1.185
4	20	1	1.942	0.688
5	1	1	1.282	0.940
5	2	1	-0.024	0.326
5	3	0	-1.398	-1.954
5	4	1	1.183	1.328
5	5	1	3.092	1.030
5	6	1	1.426	1.489
5	7	1	0.704	1.070
5	8	1	0.017	0.532
5	9	1	-0.120	1.159
5	10	1	0.511	0.696
5	11	1	0.428	0.298
5	12	1	0.627	1.605
5	13	1	2.317	1.126
5	14	0	-1.771	-2.436
5	15	1	0.628	0.751
5	16	1	-0.114	0.483
5	17	1	1.095	-0.305
5	18	1	0.491	0.604
5	19	1	1.872	1.139
5	20	1	-0.174	0.628
