#i j Xij(1) Xij(2)
1	1	-0.187	0.747
1	2	2.824	0.377
1	3	0.713	0.766
1	4	1.635	1.846
1	5	2.711	1.996
1	6	0.456	0.592
1	7	0.564	0.969
1	8	1.860	1.812
1	9	-0.050	0.755
1	10	1.680	1.087
1	11	0.902	1.350
1	12	0.708	0.993
1	13	1.190	1.726
1	14	-0.143	1.287
1	15	-1.932	-2.018
1	16	1.297	0.519
1	17	-0.173	1.022
1	18	0.822	2.264
1	19	0.400	1.207
1	20	2.204	0.826
2	1	0.525	0.744
2	2	0.701	0.942
2	3	1.556	0.623
2	4	1.144	1.195
2	5	0.202	1.772
2	6	1.431	0.981
2	7	2.180	0.096
2	8	2.359	0.991
2	9	2.292	0.980
2	10	0.422	1.892
2	11	0.557	1.400
2	12	0.951	1.225
2	13	0.135	1.648
2	14	0.856	1.218
2	15	1.898	1.818
2	16	0.676	0.222
2	17	-0.062	-0.903
2	18	0.061	0.629
2	19	0.562	0.910
2	20	1.682	1.427
3	1	-0.185	-0.712
3	2	-1.309	-1.890
3	3	-1.095	-2.306
3	4	0.369	0.521
3	5	-1.228	-1.346
3	6	-1.746	-1.868
3	7	1.526	0.949
3	8	-1.014	0.144
3	9	-1.398	-0.090
3	10	-0.418	-0.362
3	11	-0.993	-2.258
3	12	-0.525	-0.897
3	13	-0.265	-0.324
3	14	-2.048	-1.228
3	15	-0.565	-1.016
3	16	0.949	0.060
3	17	-0.847	-1.409
3	18	-0.215	-0.161
3	19	0.339	-0.545
3	20	1.863	1.799
4	1	0.596	0.921
4	2	0.734	0.138
4	3	-0.365	0.603
4	4	1.902	1.448
4	5	1.155	0.739
4	6	1.969	1.346
4	7	1.859	1.830
4	8	1.321	0.187
4	9	-1.434	-1.908
4	10	0.849	0.338
4	11	0.193	0.211
4	12	0.790	1.180
4	13	1.440	1.859
4	14	0.181	0.771
4	15	1.464	1.867
4	16	0.518	1.005
4	17	1.622	0.824
4	18	1.282	0.830
4	19	-1.371	-2.468
4	20	-1.332	-1.805
5	1	-0.301	-0.815
5	2	-0.546	-1.417
5	3	-0.992	2.020
5	4	-1.525	-0.490
