1	84884.0	B
2	86244.0	B
3	86334.0	B
4	86252.0	B
5	86232.0	B
6	86326.0	B
7	86244.0	B
8	86312.0	B
9	86392.0	B
10	86270.0	B
11	86234.0	B
12	86376.0	B
13	86404.0	B
14	86402.0	B
15	86600.0	B
16	86674.0	B
17	86734.0	B
18	87056.0	B
19	87010.0	B
20	87368.0	B
21	87476.0	B
22	87778.0	B
23	87924.0	B
24	88340.0	B
25	88614.0	B
26	88796.0	B
27	89050.0	B
28	89294.0	B
29	89554.0	B
30	90042.0	B
31	90358.0	B
32	90860.0	B
33	91274.0	B
34	91574.0	B
35	92084.0	B
36	92508.0	B
37	92978.0	B
38	93552.0	B
39	94220.0	B
40	95010.0	B
41	95518.0	B
42	96124.0	B
43	96948.0	B
44	97610.0	B
45	98354.0	B
46	98960.0	B
47	99804.0	B
48	100418.0	B
49	101304.0	B
50	102094.0	B
51	102640.0	B
52	103402.0	B
53	104070.0	B
54	105002.0	B
55	106028.0	B
56	106950.0	B
57	107806.0	B
58	108620.0	B
59	109320.0	B
60	110302.0	B
61	111156.0	B
62	112058.0	B
63	113120.0	B
64	113786.0	B
65	114506.0	B
66	115196.0	B
67	116004.0	B
68	116666.0	B
69	117558.0	B
70	118304.0	B
71	119082.0	B
72	119928.0	B
73	120658.0	B
74	121600.0	B
75	122324.0	B
76	123032.0	B
77	123748.0	B
78	124282.0	B
79	125152.0	B
80	125734.0	B
81	126340.0	B
82	126950.0	B
83	127510.0	B
84	127984.0	B
85	128614.0	B
86	129116.0	B
87	129608.0	B
88	130058.0	B
89	130610.0	B
90	131148.0	B
91	131676.0	B
92	132072.0	B
93	132272.0	B
94	132548.0	B
95	132840.0	B
96	133314.0	B
97	133546.0	B
98	133914.0	B
99	134236.0	B
100	134476.0	B
101	134650.0	S
102	134932.0	S
103	135162.0	S
104	135580.0	S
105	135760.0	S
106	136040.0	S
107	136268.0	S
108	136284.0	S
109	136530.0	S
110	136588.0	S
111	136856.0	S
112	137046.0	S
113	137042.0	S
114	137102.0	S
115	137304.0	S
116	137454.0	S
117	137522.0	S
118	137670.0	S
119	137864.0	S
120	137954.0	S
121	138104.0	S
122	138228.0	S
123	138312.0	S
124	138292.0	S
125	138454.0	S
